name,institution,attemptsForA,timeForA,attemptsForB,timeForB,attemptsForC,timeForC,attemptsForD,timeForD,attemptsForE,timeForE,attemptsForF,timeForF,attemptsForG,timeForG,attemptsForH,timeForH,attemptsForI,timeForI,attemptsForJ,timeForJ,attemptsForK,timeForK,attemptsForL,timeForL
FEC_CODEBREAKERS,FARIDPUR ENGINEERING COLLEGE,0,,0,,0,,0,,0,,0,,1,109,0,,1,52,0,,0,,0,
FEC_Nice_and_Attractive,FARIDPUR ENGINEERING COLLEGE,0,,0,,0,,0,,0,,0,,2,164,0,,2,40,3,246,0,,0,
FIU_Acrobat,FAREAST INTERNATIONAL UNIVERSITY,0,,0,,0,,0,,0,,0,,5,,0,,1,93,0,,0,,0,
FU_Convex_Hull,FENI UNIVERSITY,0,,0,,0,,0,,0,,0,,10,,0,,4,51,3,167,0,,0,
FaimDeSang,SHAHJALAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,5,274,3,265,2,46,0,,0,,1,22,0,,2,15,1,76,0,,0,
GB_Proxima,GONO BISHWABIDYALAY (GONO UNIVERSITY),0,,0,,0,,0,,0,,0,,1,30,0,,2,151,1,,0,,0,
GUB_Afsos_League,GREEN UNIVERSITY OF BANGLADESH,0,,0,,0,,1,,0,,0,,3,60,0,,1,30,1,269,0,,0,
GUB_BIG_FISH,GREEN UNIVERSITY OF BANGLADESH,0,,0,,0,,0,,0,,0,,15,,0,,4,,0,,0,,0,
GUB_Zettabyte,GERMAN UNIVERSITY BANGLADESH,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,
GreenU_Frogs,GREEN UNIVERSITY OF BANGLADESH,0,,4,,0,,5,,0,,0,,4,51,0,,1,19,1,150,0,,0,
GreenU_Theoretical,GREEN UNIVERSITY OF BANGLADESH,0,,0,,0,,0,,0,,0,,5,90,0,,2,47,6,,0,,0,
HEI_Code_Creepers,HEADWAY ENGINEERING INSTITUTE | SYLHET,0,,0,,0,,0,,0,,0,,5,,0,,2,,0,,0,,0,
