name,institution,attemptsForA,timeForA,attemptsForB,timeForB,attemptsForC,timeForC,attemptsForD,timeForD,attemptsForE,timeForE,attemptsForF,timeForF,attemptsForG,timeForG,attemptsForH,timeForH,attemptsForI,timeForI,attemptsForJ,timeForJ,attemptsForK,timeForK,attemptsForL,timeForL
S-N-S SQUAD,KHWAJA YUNUS ALI UNIVERSITY,0,,0,,0,,0,,0,,0,,4,,0,,2,,0,,0,,0,
SEC_BinaryTernary,SYLHET ENGINEERING COLLEGE,0,,0,,1,,2,266,0,,0,,2,155,0,,1,21,3,146,0,,0,
SEC_En_Passant,SYLHET ENGINEERING COLLEGE,0,,0,,0,,0,,0,,0,,3,96,0,,1,26,2,137,0,,0,
SEC_LATERALUS,SYLHET ENGINEERING COLLEGE,0,,0,,0,,0,,0,,0,,2,45,0,,1,26,1,117,0,,0,
SEU_runtimeTerror,"SOUTHEAST UNIVERSITY, BANGLADESH",0,,0,,0,,0,,0,,0,,7,213,0,,3,183,0,,0,,0,
SFMU_TRAILBLAZER,SHEIKH FAZILATUNNESA MUJIB UNIVERSITY,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,
SIU_Wizards,SYLHET INTERNATIONAL UNIVERSITY,0,,0,,0,,0,,0,,0,,18,247,0,,5,67,0,,0,,0,
SMUCT_Bewildered,SHANTO-MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY,0,,0,,0,,0,,0,,0,,8,,0,,2,,0,,0,,0,
SUB_Tsunami,SOUTHERN UNIVERSITY BANGLADESH,0,,0,,0,,0,,0,,0,,5,243,0,,2,,0,,0,,0,
SUST_Fanatics,SHAHJALAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,4,214,2,145,1,94,1,257,0,,4,35,0,,1,13,1,50,0,,4,
SUST_Migrosena,SHAHJALAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,6,294,4,222,0,,0,,2,24,0,,2,35,1,147,0,,0,
SUST_Minions,SHAHJALAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,2,,2,284,0,,0,,6,126,0,,1,32,2,103,0,,0,
SUST_UpsideDown,SHAHJALAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,1,,0,,1,,1,176,2,,0,,1,27,0,,1,12,1,99,0,,0,
SUSTy Coder,SHAHJALAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,0,,4,,0,,0,,4,85,0,,1,11,2,117,0,,0,
SU_All_Are_Newbie,SONARGAON UNIVERSITY,0,,0,,0,,0,,0,,0,,3,47,0,,1,117,0,,0,,0,
Sagittarius A*,"RANGPUR ENGINEERING COLLEGE,RANGPUR",1,,1,,0,,0,,0,,0,,8,,0,,1,56,0,,0,,0,
Scholars_Byte_Brigade,UNIVERSITY OF SCHOLARS,0,,0,,0,,0,,0,,0,,4,216,0,,2,73,3,,0,,0,
Silverwing_SST,RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,0,,0,,0,,0,,0,,0,,4,97,0,,1,20,3,217,0,,0,
Singularity,SHEIKH HASINA UNIVERSITY,0,,0,,0,,0,,0,,0,,1,23,0,,1,16,2,134,0,,0,
SnowBell,STATE UNIVERSITY OF BANGLADESH,0,,0,,0,,0,,0,,0,,3,212,0,,0,,0,,0,,0,
Sust_Underprivileged_Kids,SHAHJALAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,6,,2,191,0,,0,,1,32,0,,1,12,1,70,0,,0,
TBA,"JAGANNATH UNIVERSITY, BANGLADESH",0,,1,,0,,0,,0,,0,,3,74,0,,5,210,0,,0,,0,
TC_Devs,TEJGAON COLLEGE,0,,0,,0,,0,,0,,0,,3,57,0,,6,168,3,,0,,0,
TC_Fallen_Order,TEJGAON COLLEGE,0,,0,,0,,0,,0,,0,,8,151,0,,9,,0,,0,,0,
TEC_Slytherin,TMSS ENGINEERING COLLEGE,0,,0,,0,,0,,0,,0,,6,,0,,11,,0,,0,,0,
TU_CYBER_SQUAD,TEESTA UNIVERSITY,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,
Team_Three_Dots,JATIYA KABI KAZI NAZRUL ISLAM UNIVERSITY,0,,0,,0,,0,,0,,0,,10,168,0,,1,45,3,,0,,0,
Team_nloglogn,SHAHJALAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,5,115,0,,2,46,2,286,0,,0,
TrioOfUttoranchal_JnU,"JAGANNATH UNIVERSITY, BANGLADESH",0,,0,,0,,0,,0,,0,,6,132,0,,2,92,6,,0,,0,
UAP_Amogus,UNIVERSITY OF ASIA PACIFIC,0,,0,,0,,1,,0,,0,,3,67,0,,1,53,2,147,0,,0,
UAP_BitBlasters,UNIVERSITY OF ASIA PACIFIC,0,,0,,0,,0,,0,,0,,5,,0,,1,118,0,,0,,0,
UAP_Linked_Lists,UNIVERSITY OF ASIA PACIFIC,0,,0,,0,,0,,0,,0,,3,240,0,,3,185,0,,0,,0,
UAP_Raptors,UNIVERSITY OF ASIA PACIFIC,0,,2,,0,,0,,0,,0,,8,,0,,3,139,0,,0,,0,
UGV_Team-404,UNIVERSITY OF GLOBAL VILLAGE,0,,0,,0,,0,,0,,0,,11,150,0,,2,95,0,,0,,0,
UITS_ACES,UNIVERSITY OF INFORMATION TECHNOLOGY AND SCIENCES,0,,0,,0,,0,,0,,0,,2,,0,,5,68,0,,0,,0,
UITS_FullGlassEmpty(),UNIVERSITY OF INFORMATION TECHNOLOGY AND SCIENCES,0,,0,,0,,0,,0,,0,,4,118,0,,1,65,1,,0,,0,
UIU_Dhur_Chata,UNITED INTERNATIONAL UNIVERSITY,0,,0,,0,,11,,0,,0,,6,128,0,,2,25,6,192,0,,0,
UIU_Direwolves,UNITED INTERNATIONAL UNIVERSITY,0,,0,,0,,0,,0,,0,,9,165,0,,2,74,1,,0,,0,
UIU_Entropy,UNITED INTERNATIONAL UNIVERSITY,0,,0,,0,,0,,0,,0,,6,81,0,,3,147,0,,0,,0,
ULAB_aNonyMOus,UNIVERSITY OF LIBERAL ARTS BANGLADESH,0,,0,,0,,0,,0,,0,,5,80,0,,1,151,0,,0,,0,
UU_Programmers,UTTARA UNIVERSITY,0,,0,,0,,0,,0,,0,,5,,0,,2,75,1,262,0,,0,
Uctc_Akatsuki,"UNIVERSITY OF CREATIVE TECHNOLOGY, CHITTAGONG",0,,0,,0,,0,,0,,0,,4,113,0,,2,35,1,,0,,0,
VU_Triple_I_Coders,VARENDRA UNIVERSITY,0,,0,,0,,0,,0,,0,,5,122,0,,4,70,1,239,0,,0,
VU_Virtuoso,VARENDRA UNIVERSITY,0,,0,,0,,0,,0,,0,,9,,0,,6,,0,,0,,0,
ValoDekheEktaNaam,MAWLANA BHASHANI SCIENCE AND TECHNOLOGY UNIVERSITY,0,,0,,0,,4,,0,,0,,4,73,0,,1,33,1,47,0,,0,
Valo_Dekhe_Ekta_Nam,SHAHJALAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,2,,5,251,0,,0,,6,44,0,,2,25,2,203,0,,0,
WUB Blue Vortex,WORLD UNIVERSITY OF BANGLADESH,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,
We_don’t_test_We_pray,RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,0,,0,,0,,2,,0,,0,,2,26,0,,1,16,1,106,0,,0,
ZHSUST_Orions,Z. H. SIKDER UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,8,,0,,0,,0,,0,,0,
Zero or One,RANGAMATI SCIENCE AND TECHNOLOGY UNIVERSITY,0,,1,,0,,0,,0,,0,,5,122,0,,8,132,2,186,0,,0,
error_404,"BANGABANDHU SHEIKH MUJIBUR RAHMAN DIGITAL UNIVERSITY,BANGLADESH",0,,0,,0,,0,,0,,0,,4,,0,,1,96,0,,0,,0,
problem_eliminator,BARISAL INFORMATION TECHNOLOGY COLLEGE,0,,0,,0,,0,,0,,0,,7,,0,,1,,0,,0,,0,
temp_1,TEMP INSTITUTE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
temp_2,TEMP INSTITUTE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
temp_3,TEMP INSTITUTE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
